family,sigma,stride,class,seed,split,n_frames,L,R,eta,speed_mean,speed_std,speed_max,speed_change_mean_signed,speed_change_mean_abs,speed_change_max_abs,mean_cosine,angle_valid_fraction,efficiency_valid_flag,efficiency_valid_flag_calibrated,angle_valid_fraction_calibrated,n_angles,n_angles_valid,e95
B,0.05,8,ramp,1004,train,17,1.2696873335620646,0.4093275726353761,0.32238454445869086,1.2696873335620646,1.0319158731311868,3.595323145003629,-0.014020538516677068,10.29469296603382,34.91522288538076,0.30614048970604324,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,ramp,1005,test,17,1.1971573235706021,0.45291711178298943,0.3783271445327952,1.1971573235706021,0.9752040651071963,4.120522657239569,-0.3977914607432407,9.867627745147054,27.271486016306326,-0.013302773831883956,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,ramp,1006,test,17,1.2673713730619944,0.4452524931871736,0.35131967050150004,1.2673713730619944,1.0744853115766393,4.1583202127117715,1.302985376136958,12.680680191166212,37.76503922782044,0.32341337392537023,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,ramp,1007,test,17,1.142340805157743,0.44437739014754385,0.3890059675196325,1.142340805157743,1.0377001409452915,3.95210866144647,0.28410073234319383,8.281156684350082,34.237225648130035,0.14861353537097816,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,ramp,1008,test,17,1.1777304103972983,0.42529973033622814,0.36111806792248535,1.1777304103972983,1.0306981786023708,4.212472690033875,0.04830226699934605,9.280535024048937,37.49336887828396,0.19263666952718664,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,ramp,1009,test,17,1.1187511965467527,0.4194995329671971,0.37497124853324454,1.1187511965467527,1.1183300434638588,4.941683876219321,0.18877055992590452,12.180803200620362,55.25190011602592,0.18353642736078163,1.0,1.0,0.0,0.06666666666666667,15,15,0.054708738634047294
B,0.05,8,ramp,1010,test,17,1.2746866444900389,0.4299358837340373,0.3372875095165375,1.2746866444900389,0.9552207315211809,3.534149515581321,-0.2453654692383949,9.996656048354422,24.959104619144185,0.21346623144398136,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,ramp,1011,test,17,1.1378985836152964,0.4828844756499783,0.4243651258583806,1.1378985836152964,0.9462754134305755,3.463940822016803,0.47563964263502406,9.406971201401072,27.70567798383819,-0.07071143652219386,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,ramp,1012,test,17,1.1572232517362895,0.46174567829690905,0.3990117530079949,1.1572232517362895,1.0244093561537084,4.2334143603462735,0.01628817381816674,12.81006090783007,38.477583628154605,0.21784884721876016,1.0,1.0,0.0,0.2,15,15,0.054708738634047294
B,0.05,8,ramp,1013,test,17,1.1912949170239222,0.42861926422344304,0.35979274157755514,1.1912949170239222,0.9447310515970392,3.962512008117529,0.18636511405994974,9.215700838116655,43.89101683956875,0.25987377606454787,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,ramp,1014,test,17,1.3119029188363558,0.4266322701934161,0.32520109839517275,1.3119029188363558,0.9360286450102159,3.632843661674122,0.7895157976558878,11.390809800894308,35.323585677830636,0.12083772555533703,1.0,1.0,0.0,0.13333333333333333,15,15,0.054708738634047294
B,0.05,8,jump,1000,train,17,1.246907905865308,0.4226714502280034,0.3389756759419093,1.246907905865308,1.6659527628916202,7.4257903107108225,0.005007004616110559,17.016949411513615,111.16167493484082,0.632708225124775,1.0,1.0,0.0,0.06666666666666667,15,15,0.054708738634047294
